inspection_id,unit_id,stage,inspection_date,inspector_id,pass_first_time,defect_id,root_cause_id,supplier_id,rework_required,rework_description,scrapped_at_stage
06420c3d-b038-40b3-9220-a26734e1d482,d0e6d870-4dde-466f-aa83-455d3df46dc4,Woodworking,2025-01-06 12:27:07.469910,W003,True,,,,False,,False
2857557c-cb6e-4913-b79f-7807e889a236,d0e6d870-4dde-466f-aa83-455d3df46dc4,Prep & Fit,2025-01-08 23:22:51.220353,W003,True,,,,False,,False
9f762a33-4bd7-442f-8871-9b035771cd27,d0e6d870-4dde-466f-aa83-455d3df46dc4,Finishing,2025-01-12 00:16:55.120405,W002,True,,,,False,,False
d20d1959-47cc-4157-ad94-e24344c51c4b,d0e6d870-4dde-466f-aa83-455d3df46dc4,Final Assembly,2025-01-14 01:43:19.323925,W002,False,D031,RC029,S002,True,Reworked for D031,False
14051fbd-26f1-4ee8-b8e4-150c7a8b1b90,d0e6d870-4dde-466f-aa83-455d3df46dc4,Final Assembly,2025-01-14 07:22:13.282368,W001,False,,,,False,,False
24ccbd6b-61ff-40dc-b0f9-033e6ad8c34d,d0e6d870-4dde-466f-aa83-455d3df46dc4,Final QC,2025-01-16 07:16:48.169800,W003,True,,,,False,,False
04f9557e-d74c-40da-a760-68099306ac7a,bc395455-9c15-4e7f-8ce3-8c729389ccd6,Woodworking,2025-01-22 06:01:39.490760,W002,True,,,,False,,False
c238c904-c3ab-4f1e-a5e3-0d9c4711a51f,bc395455-9c15-4e7f-8ce3-8c729389ccd6,Prep & Fit,2025-01-23 23:50:34.945226,W001,True,,,,False,,False
cbadd7f9-dc22-427f-9675-516d0b55358f,bc395455-9c15-4e7f-8ce3-8c729389ccd6,Finishing,2025-01-26 23:07:08.972225,W003,True,,,,False,,False
e27caa7a-6895-4652-adf2-a13127ce3fd7,bc395455-9c15-4e7f-8ce3-8c729389ccd6,Final Assembly,2025-01-28 02:35:35.521179,W002,True,,,,False,,False
c9f361cd-1461-482c-953f-61103204e894,bc395455-9c15-4e7f-8ce3-8c729389ccd6,Final QC,2025-01-30 13:54:56.760384,W002,True,,,,False,,False
3c1da9ca-ee1d-4162-9028-3d86c486ef65,7a13b3b2-b5b4-4e8d-a7ab-345978cc8c00,Woodworking,2025-01-30 06:07:50.940136,W001,True,,,,False,,False
189aefa8-d975-4058-9c4d-52d87c21bea9,7a13b3b2-b5b4-4e8d-a7ab-345978cc8c00,Prep & Fit,2025-02-01 17:59:09.833239,W001,True,,,,False,,False
